[2016-02-20 16:10:16.017] [INFO] file-logger - computing stats for: CH2015.json
[2016-02-20 16:10:16.022] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-13
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-12
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-11
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-10
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-09
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-06
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-05
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-04
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-03
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-03-02
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-27
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-26
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-25
[2016-02-20 16:10:16.023] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-24
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-23
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-20
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-19
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-18
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-17
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-13
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-12
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-11
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-10
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-09
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-06
[2016-02-20 16:10:16.024] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-05
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-04
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-03
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-02-02
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-30
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-29
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-28
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-27
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-26
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-23
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-22
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-21
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-20
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-16
[2016-02-20 16:10:16.025] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-15
[2016-02-20 16:10:16.026] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-14
[2016-02-20 16:10:16.026] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-13
[2016-02-20 16:10:16.026] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-12
[2016-02-20 16:10:16.026] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-09
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-08
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-07
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-06
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-05
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2015-01-02
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-31
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-30
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-29
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-26
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-24
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-23
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-22
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-19
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-18
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-17
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-16
[2016-02-20 16:10:16.027] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-15
[2016-02-20 16:10:16.028] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-12
[2016-02-20 16:10:16.028] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-11
